media_id,creation_date,caption,comments_count,like_count,views,shares,comments_downloaded,timestamp
7514367123066588438,2025-06-10,"Questa è la mia Tier list sulle cose stressanti che possono accumularsi nel corso della giornata, in questa performance di endurance che si chiama vita. Sono curiosa di sapere come sarebbe la vostra. Let me know Gli integratori non vanno intesi come sostituti di un’alimentazione varia ed equilibrata e di un corretto stile di vita. Integratore alimentare. Leggere le avvertenze #StressMageddon #SupradynRicaricaNoStress #adv @supradyn_italiastressmageddon #supradynricaricanostress #adv",13,1230,78000,10,1,2025-06-10
7515118418861919510,2025-06-12,#tuttelevolteche #saviano tuttelevolteche #saviano,1,94,1878,0,1,2025-06-12
7515581354071837974,2025-06-13,@Irene Giussani ,9,3164,110700,82,1,2025-06-13
7516548582938365206,2025-06-16,camihawke's short video with ♬ suono originale,68,9384,185800,122,1,2025-06-16
7518056147190910230,2025-06-20,Buon venerdi ,152,25300,272200,1689,1,2025-06-20
7521752629077167382,2025-06-30,camihawke's short video with ♬ suono originale,1149,75600,1100000,3138,1,2025-06-30
7524280593912220950,2025-07-07,camihawke's short video with ♬ Do I Follow the Voices?,20,4524,68400,459,1,2025-07-07
7526659452976532758,2025-07-13,camihawke's short video with ♬ suono originale,79,12600,147100,596,1,2025-07-13
7528368824194731286,2025-07-18,camihawke's short video with ♬ suono originale,99,12000,118000,563,1,2025-07-18
7529150884035595522,2025-07-20,camihawke's short video with ♬ suono originale,26,7732,126800,130,1,2025-07-20
7531078649391385878,2025-07-25,camihawke's short video with ♬ suono originale,65,14800,186500,288,1,2025-07-25
7542923097708514582,2025-08-26,Ciao,60,6669,149200,186,1,2025-08-26
7543293542563597590,2025-08-27,Day2 #dolomiti dolomiti,15,2717,75700,31,1,2025-08-27
7543623596472667414,2025-08-28,camihawke's short video with ♬ suono originale,87,13200,266000,241,1,2025-08-28
7545849617141812502,2025-09-03,camihawke's short video with ♬ suono originale,150,24900,545000,1012,1,2025-09-03
7549217816134634774,2025-09-12,#thesummeriturnedpretty thesummeriturnedpretty,524,11300,228500,2476,1,2025-09-12
7551484989980937494,2025-09-18,"camihawke's short video with ♬ You Needed Love, I Needed You",27,5392,150500,59,1,2025-09-18
7554042569689156886,2025-09-25,camihawke's short video with ♬ original sound,207,54100,570400,1466,1,2025-09-25
7554335463977323798,2025-09-26,camihawke's short video with ♬ suono originale,80,11000,238800,1383,1,2025-09-26
7555517656070212886,2025-09-29,camihawke's short video with ♬ suono originale,46,11000,246900,159,1,2025-09-29
7559523234941570326,2025-10-10,camihawke's short video with ♬ Tu Sei Pazza - Original Mix,29,3081,61800,90,1,2025-10-10
7565847712369757462,2025-10-27,camihawke's short video with ♬ suono originale,480,45500,487300,4896,1,2025-10-27
7567405060687252758,2025-10-31,camihawke's short video with ♬ original sound,15,2194,47800,13,1,2025-10-31
7571168669569420566,2025-11-10,camihawke's short video with ♬ suono originale,48,7638,117300,366,1,2025-11-10
7573001664253185302,2025-11-15,camihawke's short video with ♬ suono originale,14,4505,54300,417,1,2025-11-15
7574377349232282902,2025-11-19,camihawke's short video with ♬ suono originale,37,6646,85300,378,1,2025-11-19
7576029158921309462,2025-11-23,camihawke's short video with ♬ suono originale,4,1798,34300,16,1,2025-11-23
7576639905351224598,2025-11-25,La famosa maionese con le uova montate,63,10700,138500,216,1,2025-11-25
7579667218988829974,2025-12-03,#larp #harrypottertiktok larp #harrypottertiktok,5,1622,43300,15,1,2025-12-03
7580322334351904022,2025-12-05,"Camilla menthal couch é un corso disponibile su tutte le piattaforme di università della vita ed é pensato per tutti e coloro che sono stati gettati tra i lupi e ne sono usciti capobranco. Se avete altri consigli potete scriverli nei commenti, li inserirò nel prossimo corso. @imetec_italia @netflixit #adv #Imetec #CaldoPlaid #StrangerThings adv #imetec #caldoplaid #strangerthings",12,873,26400,41,1,2025-12-05
7580348972653432086,2025-12-05,camihawke's short video with ♬ suono originale,197,22800,278200,1677,1,2025-12-05
7580815862345633046,2025-12-06,camihawke's short video with ♬ Amor de Novo,15,1700,40300,19,1,2025-12-06
7582165640081886486,2025-12-10,#medium medium,10,2843,73300,424,1,2025-12-10
7582214101347077398,2025-12-10,camihawke's short video with ♬ suono originale,28,2681,102600,60,1,2025-12-10
7582331934848601347,2025-12-10,camihawke's short video with ♬ Take 6,26,8113,168900,123,1,2025-12-10
7584475127853616406,2025-12-16,camihawke's short video with ♬ suono originale,25,5868,105500,28,1,2025-12-16
7584881562022415638,2025-12-17,#adv Gettata fra i lupi uscita lampadina grazie al siero viso alla vitamins C di @CeraVe #Skincare #lorealitaliatribe #SkinRenewing adv # #skincare #lorealitaliatribe #skinrenewing,57,6101,3100000,324,1,2025-12-17
7586326498085178647,2025-12-21,camihawke's short video with ♬ L infinità Eduardo De Crescenzo,31,14400,369100,187,1,2025-12-21
